[Organism]	[All genes]	[Prot genes]	[All pseudo -genes]	[Non prot genes]	[EC#]	[GO terms]	[SAGE tags]	[RNA Seq]	[ChIP chip]	[RT- PCR]	[ESTs]	[SNPs]	[Ortho logs]	[Micro arrays]	[Prote omics]	[TFBS]	[Comm unity entries]	[Data source]	[Project]	[Isolates]	[Is annotated]	[Is Reference Strain]	[Organism]	[NCBI taxon ID]	[Genome version]	[Mega base Pairs]	[Is published]	[Fasta Download Link]	[GFF Download Link]	[Gene Details Download Link]	
<i>Neurospora tetrasperma</i>  FGSC 2508	10777	10380	3	397	-	4542	-	-	-	-	-	-	9230	-	-	-	-	JGI	FungiDB	1672	1	1	Neurospora tetrasperma FGSC 2508	510951	2011-09-15	   39.15	1	http://FungiDB.org/common/downloads/Current_Release/Ntetrasperma_FGSC2508/fasta/data/FungiDB-24_Ntetrasperma_FGSC2508_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Ntetrasperma_FGSC2508/gff/data/FungiDB-24_Ntetrasperma_FGSC2508.gff	http://FungiDB.org/common/downloads/Current_Release/Ntetrasperma_FGSC2508/txt/FungiDB-24_Ntetrasperma_FGSC2508Gene.txt	
<i>Pythium aphanidermatum</i>  DAOM BR444	12345	12312	6	33	-	6425	-	-	-	-	-	-	11934	-	-	-	-	MSU	FungiDB	748	1	1	Pythium aphanidermatum DAOM BR444	1223555	2014-08-11	   35.88	1	http://FungiDB.org/common/downloads/Current_Release/Paphanidermatum_DAOMBR444/fasta/data/FungiDB-24_Paphanidermatum_DAOMBR444_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Paphanidermatum_DAOMBR444/gff/data/FungiDB-24_Paphanidermatum_DAOMBR444.gff	http://FungiDB.org/common/downloads/Current_Release/Paphanidermatum_DAOMBR444/txt/FungiDB-24_Paphanidermatum_DAOMBR444Gene.txt	
<i>Pythium arrhenomanes</i>  ATCC 12531	13846	13805	2	41	-	6958	-	-	-	-	-	-	13222	-	-	-	-	MSU	FungiDB	735	1	1	Pythium arrhenomanes ATCC 12531	1223556	2014-08-11	   44.69	1	http://FungiDB.org/common/downloads/Current_Release/Parrhenomanes_ATCC12531/fasta/data/FungiDB-24_Parrhenomanes_ATCC12531_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Parrhenomanes_ATCC12531/gff/data/FungiDB-24_Parrhenomanes_ATCC12531.gff	http://FungiDB.org/common/downloads/Current_Release/Parrhenomanes_ATCC12531/txt/FungiDB-24_Parrhenomanes_ATCC12531Gene.txt	
<i>Phycomyces blakesleeanus</i>  NRRL 1555(-)	16837	16528	0	309	-	6530	-	-	-	-	5336	-	14547	-	-	-	-	JGI	FungiDB	51	1	1	Phycomyces blakesleeanus NRRL 1555(-)	763407	2	   53.94	0	http://FungiDB.org/common/downloads/Current_Release/Pblakesleeanus_NRRL1555-/fasta/data/FungiDB-24_Pblakesleeanus_NRRL1555-_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Pblakesleeanus_NRRL1555-/gff/data/FungiDB-24_Pblakesleeanus_NRRL1555-.gff	http://FungiDB.org/common/downloads/Current_Release/Pblakesleeanus_NRRL1555-/txt/FungiDB-24_Pblakesleeanus_NRRL1555-Gene.txt	
<i>Phytophthora capsici</i>  LT1534	20361	19805	9	556	-	8557	-	-	-	-	6496	-	19380	-	-	-	-	JGI	FungiDB	18524	1	1	Phytophthora capsici LT1534	763924	11	   64.02	1	http://FungiDB.org/common/downloads/Current_Release/Pcapsici_LT1534/fasta/data/FungiDB-24_Pcapsici_LT1534_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Pcapsici_LT1534/gff/data/FungiDB-24_Pcapsici_LT1534.gff	http://FungiDB.org/common/downloads/Current_Release/Pcapsici_LT1534/txt/FungiDB-24_Pcapsici_LT1534Gene.txt	
<i>Phanerochaete chrysosporium</i>  RP-78	10263	10048	2	215	-	4153	-	-	-	-	3764	-	7967	-	-	-	-	JGI	FungiDB	104	1	1	Phanerochaete chrysosporium RP-78	273507	2.1	   35.15	1	http://FungiDB.org/common/downloads/Current_Release/Pchrysosporium_RP-78/fasta/data/FungiDB-24_Pchrysosporium_RP-78_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Pchrysosporium_RP-78/gff/data/FungiDB-24_Pchrysosporium_RP-78.gff	http://FungiDB.org/common/downloads/Current_Release/Pchrysosporium_RP-78/txt/FungiDB-24_Pchrysosporium_RP-78Gene.txt	
<i>Phytophthora cinnamomi</i>  var. cinnamomi	26201	26131	10	70	-	8966	-	-	-	-	-	-	24299	-	-	-	-	JGI	FungiDB	10698	1	1	Phytophthora cinnamomi var. cinnamomi	622258	1	   77.97	0	http://FungiDB.org/common/downloads/Current_Release/Pcinnamomi_CBS144-22/fasta/data/FungiDB-24_Pcinnamomi_CBS144-22_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Pcinnamomi_CBS144-22/gff/data/FungiDB-24_Pcinnamomi_CBS144-22.gff	http://FungiDB.org/common/downloads/Current_Release/Pcinnamomi_CBS144-22/txt/FungiDB-24_Pcinnamomi_CBS144-22Gene.txt	
<i>Puccinia graminis</i>  f. sp. tritici CRL 75-36-700-3	16480	15979	51	501	-	4854	-	-	-	-	125	-	12906	-	-	-	-	Broad	FungiDB	997	1	1	Puccinia graminis f. sp. tritici CRL 75-36-700-3	418459	2	   88.64	1	http://FungiDB.org/common/downloads/Current_Release/Pgraminis_CRL75-36-700-3/fasta/data/FungiDB-24_Pgraminis_CRL75-36-700-3_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Pgraminis_CRL75-36-700-3/gff/data/FungiDB-24_Pgraminis_CRL75-36-700-3.gff	http://FungiDB.org/common/downloads/Current_Release/Pgraminis_CRL75-36-700-3/txt/FungiDB-24_Pgraminis_CRL75-36-700-3Gene.txt	
<i>Phytophthora infestans</i>  T30-4	24898	17909	1040	6989	-	8900	-	-	-	-	9323	-	17144	-	-	-	4	Broad	FungiDB	9750	1	1	Phytophthora infestans T30-4	403677	1	  228.54	1	http://FungiDB.org/common/downloads/Current_Release/Pinfestans_T30-4/fasta/data/FungiDB-24_Pinfestans_T30-4_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Pinfestans_T30-4/gff/data/FungiDB-24_Pinfestans_T30-4.gff	http://FungiDB.org/common/downloads/Current_Release/Pinfestans_T30-4/txt/FungiDB-24_Pinfestans_T30-4Gene.txt	
<i>Pythium irregulare</i>  DAOM BR486	13834	13805	6	29	-	7079	-	-	-	-	-	-	13423	-	-	-	-	MSU	FungiDB	723	1	1	Pythium irregulare DAOM BR486	1223557	2014-08-11	   42.97	1	http://FungiDB.org/common/downloads/Current_Release/Pirregulare_DAOMBR486/fasta/data/FungiDB-24_Pirregulare_DAOMBR486_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Pirregulare_DAOMBR486/gff/data/FungiDB-24_Pirregulare_DAOMBR486.gff	http://FungiDB.org/common/downloads/Current_Release/Pirregulare_DAOMBR486/txt/FungiDB-24_Pirregulare_DAOMBR486Gene.txt	
<i>Pythium iwayamai</i>  DAOM BR242034	14941	14875	9	66	-	6986	-	-	-	-	-	-	14198	-	-	-	-	MSU	FungiDB	736	1	1	Pythium iwayamai DAOM BR242034	1223558	2014-08-11	   43.20	1	http://FungiDB.org/common/downloads/Current_Release/Piwayamai_DAOMBR242034/fasta/data/FungiDB-24_Piwayamai_DAOMBR242034_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Piwayamai_DAOMBR242034/gff/data/FungiDB-24_Piwayamai_DAOMBR242034.gff	http://FungiDB.org/common/downloads/Current_Release/Piwayamai_DAOMBR242034/txt/FungiDB-24_Piwayamai_DAOMBR242034Gene.txt	
<i>Pneumocystis jirovecii</i>  SE8	3561	3520	0	41	-	2168	-	-	-	-	-	-	3140	-	-	-	-	JGI	FungiDB	101	1	1	Pneumocystis jirovecii SE8	1209962	1	    8.15	1	http://FungiDB.org/common/downloads/Current_Release/Pjirovecii_SE8/fasta/data/FungiDB-24_Pjirovecii_SE8_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Pjirovecii_SE8/gff/data/FungiDB-24_Pjirovecii_SE8.gff	http://FungiDB.org/common/downloads/Current_Release/Pjirovecii_SE8/txt/FungiDB-24_Pjirovecii_SE8Gene.txt	
<i>Phytophthora parasitica</i>  INRA-310	20934	20822	20	112	-	8609	-	-	-	-	3962	-	19821	-	-	-	-	Broad	FungiDB	11932	1	1	Phytophthora parasitica INRA-310	761204	2	   82.39	0	http://FungiDB.org/common/downloads/Current_Release/Pparasitica_INRA-310/fasta/data/FungiDB-24_Pparasitica_INRA-310_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Pparasitica_INRA-310/gff/data/FungiDB-24_Pparasitica_INRA-310.gff	http://FungiDB.org/common/downloads/Current_Release/Pparasitica_INRA-310/txt/FungiDB-24_Pparasitica_INRA-310Gene.txt	
<i>Phytophthora ramorum</i> 	15897	15743	11	154	-	6790	-	15743	-	-	-	-	13811	-	-	-	-	JGI	FungiDB	18772	1	1	Phytophthora ramorum	164328	1.1	   66.65	1	http://FungiDB.org/common/downloads/Current_Release/Pramorum_Pr-102/fasta/data/FungiDB-24_Pramorum_Pr-102_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Pramorum_Pr-102/gff/data/FungiDB-24_Pramorum_Pr-102.gff	http://FungiDB.org/common/downloads/Current_Release/Pramorum_Pr-102/txt/FungiDB-24_Pramorum_Pr-102Gene.txt	
<i>Phytophthora sojae</i> 	28247	26584	24	1663	-	9279	-	26584	-	-	-	-	25703	-	-	-	-	JGI	FungiDB	20066	1	1	Phytophthora sojae	67593	3	   82.60	1	http://FungiDB.org/common/downloads/Current_Release/Psojae_P6497/fasta/data/FungiDB-24_Psojae_P6497_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Psojae_P6497/gff/data/FungiDB-24_Psojae_P6497.gff	http://FungiDB.org/common/downloads/Current_Release/Psojae_P6497/txt/FungiDB-24_Psojae_P6497Gene.txt	
<i>Pythium ultimum</i>  var. sporangiiferum BR650	14101	14096	2	5	-	6184	-	-	-	-	7753	-	13083	-	-	-	-	MSU	FungiDB	687	1	0	Pythium ultimum var. sporangiiferum BR650	1223559	2014-08-11	   37.63	1	http://FungiDB.org/common/downloads/Current_Release/Pultimum_BR650/fasta/data/FungiDB-24_Pultimum_BR650_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Pultimum_BR650/gff/data/FungiDB-24_Pultimum_BR650.gff	http://FungiDB.org/common/downloads/Current_Release/Pultimum_BR650/txt/FungiDB-24_Pultimum_BR650Gene.txt	
<i>Pythium ultimum</i>  DAOM BR144	15986	15323	38	663	-	7533	-	-	-	-	8214	-	14777	-	-	-	-	JCVI	FungiDB	4840	1	1	Pythium ultimum DAOM BR144	431595	2013-07-16	   44.91	1	http://FungiDB.org/common/downloads/Current_Release/Pultimum_DAOMBR144/fasta/data/FungiDB-24_Pultimum_DAOMBR144_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Pultimum_DAOMBR144/gff/data/FungiDB-24_Pultimum_DAOMBR144.gff	http://FungiDB.org/common/downloads/Current_Release/Pultimum_DAOMBR144/txt/FungiDB-24_Pultimum_DAOMBR144Gene.txt	
<i>Pythium vexans</i>  DAOM BR484	11974	11958	0	16	-	6482	-	-	-	-	-	-	11582	-	-	-	-	MSU	FungiDB	735	1	1	Pythium vexans DAOM BR484	1223560	2014-08-11	   33.84	1	http://FungiDB.org/common/downloads/Current_Release/Pvexans_DAOMBR484/fasta/data/FungiDB-24_Pvexans_DAOMBR484_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Pvexans_DAOMBR484/gff/data/FungiDB-24_Pvexans_DAOMBR484.gff	http://FungiDB.org/common/downloads/Current_Release/Pvexans_DAOMBR484/txt/FungiDB-24_Pvexans_DAOMBR484Gene.txt	
<i>Rhizopus delemar</i>  RA 99-880	17952	17459	1	493	-	8203	-	17703	-	-	-	-	15358	-	-	-	-	Broad	FungiDB	2049	1	1	Rhizopus delemar RA 99-880	246409	2012-04-18	   46.13	1	http://FungiDB.org/common/downloads/Current_Release/Rdelemar_RA99-880/fasta/data/FungiDB-24_Rdelemar_RA99-880_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Rdelemar_RA99-880/gff/data/FungiDB-24_Rdelemar_RA99-880.gff	http://FungiDB.org/common/downloads/Current_Release/Rdelemar_RA99-880/txt/FungiDB-24_Rdelemar_RA99-880Gene.txt	
<i>Saccharomyces cerevisiae</i>  S288c	6918	6623	27	295	514	3550	-	-	-	-	4175	-	5776	6077	-	-	1	SGD	FungiDB	18699	1	1	Saccharomyces cerevisiae S288c	559292	2013-07-12	   12.16	1	http://FungiDB.org/common/downloads/Current_Release/Scerevisiae_S288c/fasta/data/FungiDB-24_Scerevisiae_S288c_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Scerevisiae_S288c/gff/data/FungiDB-24_Scerevisiae_S288c.gff	http://FungiDB.org/common/downloads/Current_Release/Scerevisiae_S288c/txt/FungiDB-24_Scerevisiae_S288cGene.txt	
<i>Saprolegnia diclina</i>  VS20	18319	18229	15	90	-	9033	-	-	-	-	-	-	17769	-	-	-	-	Broad	FungiDB	1201	1	1	Saprolegnia diclina VS20	1156394	1	   62.89	0	http://FungiDB.org/common/downloads/Current_Release/Sdiclina_VS20/fasta/data/FungiDB-24_Sdiclina_VS20_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Sdiclina_VS20/gff/data/FungiDB-24_Sdiclina_VS20.gff	http://FungiDB.org/common/downloads/Current_Release/Sdiclina_VS20/txt/FungiDB-24_Sdiclina_VS20Gene.txt	
<i>Schizosaccharomyces japonicus</i>  yFS275	5206	4852	16	354	-	3222	-	-	-	-	-	-	4581	-	-	-	-	Broad	FungiDB	368	1	1	Schizosaccharomyces japonicus yFS275	402676	5	   11.81	0	http://FungiDB.org/common/downloads/Current_Release/Sjaponicus_yFS275/fasta/data/FungiDB-24_Sjaponicus_yFS275_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Sjaponicus_yFS275/gff/data/FungiDB-24_Sjaponicus_yFS275.gff	http://FungiDB.org/common/downloads/Current_Release/Sjaponicus_yFS275/txt/FungiDB-24_Sjaponicus_yFS275Gene.txt	
<i>Sordaria macrospora</i>  k-hell	11772	10827	14	945	-	5289	-	-	-	-	-	-	9956	-	-	-	28	Bochum	FungiDB	2176	1	1	Sordaria macrospora k-hell	771870	2011-06-16	   39.96	1	http://FungiDB.org/common/downloads/Current_Release/Smacrospora_k-hell/fasta/data/FungiDB-24_Smacrospora_k-hell_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Smacrospora_k-hell/gff/data/FungiDB-24_Smacrospora_k-hell.gff	http://FungiDB.org/common/downloads/Current_Release/Smacrospora_k-hell/txt/FungiDB-24_Smacrospora_k-hellGene.txt	
<i>Schizosaccharomyces octosporus</i>  yFS286	5287	4991	5	296	-	3280	-	-	-	-	-	-	4864	-	-	-	-	Broad	FungiDB	474	1	1	Schizosaccharomyces octosporus yFS286	483514	6	   11.68	0	http://FungiDB.org/common/downloads/Current_Release/Soctosporus_yFS286/fasta/data/FungiDB-24_Soctosporus_yFS286_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Soctosporus_yFS286/gff/data/FungiDB-24_Soctosporus_yFS286.gff	http://FungiDB.org/common/downloads/Current_Release/Soctosporus_yFS286/txt/FungiDB-24_Soctosporus_yFS286Gene.txt	
<i>Saprolegnia parasitica</i>  CBS 223.65	20349	20113	39	236	-	9455	-	-	-	-	843	-	19012	-	-	-	1	Broad	FungiDB	1159	1	1	Saprolegnia parasitica CBS 223.65	695850	2	   53.09	0	http://FungiDB.org/common/downloads/Current_Release/Sparasitica_CBS223-65/fasta/data/FungiDB-24_Sparasitica_CBS223-65_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Sparasitica_CBS223-65/gff/data/FungiDB-24_Sparasitica_CBS223-65.gff	http://FungiDB.org/common/downloads/Current_Release/Sparasitica_CBS223-65/txt/FungiDB-24_Sparasitica_CBS223-65Gene.txt	
<i>Schizosaccharomyces pombe</i>  972h-	6859	6671	2	188	785	3364	-	6859	-	-	5820	-	5182	-	-	-	-	PomBase	FungiDB	341	1	1	Schizosaccharomyces pombe 972h-	284812	2.20	   12.63	1	http://FungiDB.org/common/downloads/Current_Release/Spombe_972h-/fasta/data/FungiDB-24_Spombe_972h-_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Spombe_972h-/gff/data/FungiDB-24_Spombe_972h-.gff	http://FungiDB.org/common/downloads/Current_Release/Spombe_972h-/txt/FungiDB-24_Spombe_972h-Gene.txt	
<i>Spizellomyces punctatus</i>  DAOM BR117	9618	9407	5	211	-	5362	-	-	-	-	1481	-	7989	-	-	-	-	Broad	FungiDB	44	1	1	Spizellomyces punctatus DAOM BR117	645134	1	   24.13	0	http://FungiDB.org/common/downloads/Current_Release/Spunctatus_DAOMBR117/fasta/data/FungiDB-24_Spunctatus_DAOMBR117_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Spunctatus_DAOMBR117/gff/data/FungiDB-24_Spunctatus_DAOMBR117.gff	http://FungiDB.org/common/downloads/Current_Release/Spunctatus_DAOMBR117/txt/FungiDB-24_Spunctatus_DAOMBR117Gene.txt	
<i>Sporisorium reilianum</i>  SRZ2	6716	6620	0	96	-	3844	-	-	-	-	-	-	6332	-	-	-	-	MIPS	FungiDB	504	1	1	Sporisorium reilianum SRZ2	999809	2011-08-11	   18.33	1	http://FungiDB.org/common/downloads/Current_Release/Sreilianum_SRZ2/fasta/data/FungiDB-24_Sreilianum_SRZ2_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Sreilianum_SRZ2/gff/data/FungiDB-24_Sreilianum_SRZ2.gff	http://FungiDB.org/common/downloads/Current_Release/Sreilianum_SRZ2/txt/FungiDB-24_Sreilianum_SRZ2Gene.txt	
<i>Sclerotinia sclerotiorum</i>  1980 UF-70	14684	14493	4	191	-	5426	-	-	-	-	1018	-	10139	-	-	-	-	Broad	FungiDB	4512	1	1	Sclerotinia sclerotiorum 1980 UF-70	665079	2	   38.33	0	http://FungiDB.org/common/downloads/Current_Release/Ssclerotiorum_1980UF-70/fasta/data/FungiDB-24_Ssclerotiorum_1980UF-70_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Ssclerotiorum_1980UF-70/gff/data/FungiDB-24_Ssclerotiorum_1980UF-70.gff	http://FungiDB.org/common/downloads/Current_Release/Ssclerotiorum_1980UF-70/txt/FungiDB-24_Ssclerotiorum_1980UF-70Gene.txt	
<i>Talaromyces marneffei</i>  ATCC 18224	10289	10027	17	262	-	5934	-	-	-	-	-	-	9682	-	-	-	-	JCVI	FungiDB	2017	1	1	Talaromyces marneffei ATCC 18224	441960	2009-08-26	   28.64	0	http://FungiDB.org/common/downloads/Current_Release/Tmarneffei_ATCC18224/fasta/data/FungiDB-24_Tmarneffei_ATCC18224_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Tmarneffei_ATCC18224/gff/data/FungiDB-24_Tmarneffei_ATCC18224.gff	http://FungiDB.org/common/downloads/Current_Release/Tmarneffei_ATCC18224/txt/FungiDB-24_Tmarneffei_ATCC18224Gene.txt	
<i>Tremella mesenterica</i>  DSM 1558	8359	8313	7	46	-	3827	-	-	-	-	2721	-	6703	-	-	-	-	JGI	FungiDB	12744	1	1	Tremella mesenterica DSM 1558	578456	1	   28.64	1	http://FungiDB.org/common/downloads/Current_Release/Tmesenterica_DSM1558/fasta/data/FungiDB-24_Tmesenterica_DSM1558_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Tmesenterica_DSM1558/gff/data/FungiDB-24_Tmesenterica_DSM1558.gff	http://FungiDB.org/common/downloads/Current_Release/Tmesenterica_DSM1558/txt/FungiDB-24_Tmesenterica_DSM1558Gene.txt	
<i>Trichoderma reesei</i>  QM6a	9316	9120	7	196	-	5199	-	-	-	-	4304	-	8451	-	-	-	6	JGI	FungiDB	17169	1	1	Trichoderma reesei QM6a	431241	2	   33.40	1	http://FungiDB.org/common/downloads/Current_Release/Treesei_QM6a/fasta/data/FungiDB-24_Treesei_QM6a_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Treesei_QM6a/gff/data/FungiDB-24_Treesei_QM6a.gff	http://FungiDB.org/common/downloads/Current_Release/Treesei_QM6a/txt/FungiDB-24_Treesei_QM6aGene.txt	
<i>Talaromyces stipitatus</i>  ATCC 10500	12727	12470	39	257	-	6983	-	-	-	-	-	-	11879	-	-	-	-	JCVI	FungiDB	1904	1	1	Talaromyces stipitatus ATCC 10500	441959	2009-07-02	   35.69	0	http://FungiDB.org/common/downloads/Current_Release/Tstipitatus_ATCC10500/fasta/data/FungiDB-24_Tstipitatus_ATCC10500_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Tstipitatus_ATCC10500/gff/data/FungiDB-24_Tstipitatus_ATCC10500.gff	http://FungiDB.org/common/downloads/Current_Release/Tstipitatus_ATCC10500/txt/FungiDB-24_Tstipitatus_ATCC10500Gene.txt	
<i>Ustilago maydis</i>  521	6928	6783	0	145	288	3857	-	-	-	-	5393	-	6364	-	-	-	-	GenBank	FungiDB	697	1	1	Ustilago maydis 521	237631	2015-02-18	   19.66	1	http://FungiDB.org/common/downloads/Current_Release/Umaydis_521/fasta/data/FungiDB-24_Umaydis_521_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Umaydis_521/gff/data/FungiDB-24_Umaydis_521.gff	http://FungiDB.org/common/downloads/Current_Release/Umaydis_521/txt/FungiDB-24_Umaydis_521Gene.txt	
<i>Yarrowia lipolytica</i>  CLIB122	7730	6584	136	1146	-	3989	-	-	-	-	3633	-	6543	-	-	-	-	Genoscope	FungiDB	628	1	1	Yarrowia lipolytica CLIB122	284591	2012-05-03	   20.50	0	http://FungiDB.org/common/downloads/Current_Release/Ylipolytica_CLIB122/fasta/data/FungiDB-24_Ylipolytica_CLIB122_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Ylipolytica_CLIB122/gff/data/FungiDB-24_Ylipolytica_CLIB122.gff	http://FungiDB.org/common/downloads/Current_Release/Ylipolytica_CLIB122/txt/FungiDB-24_Ylipolytica_CLIB122Gene.txt	
<i>Anncaliia algerae</i>  PRA109	5330	5245	0	85	-	1567	-	-	-	-	-	-	4742	-	-	-	-	GenBank	MicrosporidiaDB	25	1	1	Anncaliia algerae PRA109	1240240	2014-05-06	   17.53	0	http://MicrosporidiaDB.org/common/downloads/Current_Release/AalgeraePRA109/fasta/data/MicrosporidiaDB-24_AalgeraePRA109_Genome.fasta	http://MicrosporidiaDB.org/common/downloads/Current_Release/AalgeraePRA109/gff/data/MicrosporidiaDB-24_AalgeraePRA109.gff	http://MicrosporidiaDB.org/common/downloads/Current_Release/AalgeraePRA109/txt/MicrosporidiaDB-24_AalgeraePRA109Gene.txt	
<i>Anncaliia algerae</i>  PRA339	3661	3598	0	63	-	1135	-	-	-	-	-	-	3279	-	-	-	-	GenBank	MicrosporidiaDB	-	1	0	Anncaliia algerae PRA339	1288291	2014-05-06	   12.16	0	http://MicrosporidiaDB.org/common/downloads/Current_Release/AalgeraePRA339/fasta/data/MicrosporidiaDB-24_AalgeraePRA339_Genome.fasta	http://MicrosporidiaDB.org/common/downloads/Current_Release/AalgeraePRA339/gff/data/MicrosporidiaDB-24_AalgeraePRA339.gff	http://MicrosporidiaDB.org/common/downloads/Current_Release/AalgeraePRA339/txt/MicrosporidiaDB-24_AalgeraePRA339Gene.txt	
<i>Acanthamoeba castellanii</i>  str. Neff	16130	15655	693	475	-	8088	-	-	-	-	2825	-	12206	-	-	-	-	GenBank	AmoebaDB	139	1	1	Acanthamoeba castellanii str. Neff	1257118	2013-03-18	   42.02	1	http://AmoebaDB.org/common/downloads/Current_Release/AcastellaniiNeff/fasta/data/AmoebaDB-24_AcastellaniiNeff_Genome.fasta	http://AmoebaDB.org/common/downloads/Current_Release/AcastellaniiNeff/gff/data/AmoebaDB-24_AcastellaniiNeff.gff	http://AmoebaDB.org/common/downloads/Current_Release/AcastellaniiNeff/txt/AmoebaDB-24_AcastellaniiNeffGene.txt	
<i>Babesia bigemina</i>  strain BOND	5125	5079	0	46	-	1873	-	-	-	-	-	-	4666	-	-	-	-	GenBank	PiroplasmaDB	701	1	1	Babesia bigemina strain BOND	null	2014-06-13	   13.84	1	http://PiroplasmaDB.org/common/downloads/Current_Release/BbigeminaBOND/fasta/data/PiroplasmaDB-24_BbigeminaBOND_Genome.fasta	http://PiroplasmaDB.org/common/downloads/Current_Release/BbigeminaBOND/gff/data/PiroplasmaDB-24_BbigeminaBOND.gff	http://PiroplasmaDB.org/common/downloads/Current_Release/BbigeminaBOND/txt/PiroplasmaDB-24_BbigeminaBONDGene.txt	
<i>Babesia bovis</i>  T2Bo	3781	3706	0	75	291	1785	-	-	-	-	2273	-	3706	3698	-	-	33	GenBank	PiroplasmaDB	1074	1	1	Babesia bovis T2Bo	484906	2010-03-10	    8.18	1	http://PiroplasmaDB.org/common/downloads/Current_Release/BbovisT2Bo/fasta/data/PiroplasmaDB-24_BbovisT2Bo_Genome.fasta	http://PiroplasmaDB.org/common/downloads/Current_Release/BbovisT2Bo/gff/data/PiroplasmaDB-24_BbovisT2Bo.gff	http://PiroplasmaDB.org/common/downloads/Current_Release/BbovisT2Bo/txt/PiroplasmaDB-24_BbovisT2BoGene.txt	
<i>Babesia microti</i>  strain RI	3554	3494	2	60	-	1740	-	-	-	-	-	-	2769	-	-	-	-	GenBank	PiroplasmaDB	1522	1	1	Babesia microti strain RI	1133968	2012-12-12	    6.39	1	http://PiroplasmaDB.org/common/downloads/Current_Release/BmicrotiRI/fasta/data/PiroplasmaDB-24_BmicrotiRI_Genome.fasta	http://PiroplasmaDB.org/common/downloads/Current_Release/BmicrotiRI/gff/data/PiroplasmaDB-24_BmicrotiRI.gff	http://PiroplasmaDB.org/common/downloads/Current_Release/BmicrotiRI/txt/PiroplasmaDB-24_BmicrotiRIGene.txt	
<i>Crithidia fasciculata</i>  strain Cf-Cl	9619	9489	434	130	47	4312	-	-	-	-	-	4	9147	-	-	-	15	BeverleyLab	TriTrypDB	12081	1	1	Crithidia fasciculata strain Cf-Cl	null	2015-06-01	   32.63	0	http://TriTrypDB.org/common/downloads/Current_Release/CfasciculataCfCl/fasta/data/TriTrypDB-24_CfasciculataCfCl_Genome.fasta	http://TriTrypDB.org/common/downloads/Current_Release/CfasciculataCfCl/gff/data/TriTrypDB-24_CfasciculataCfCl.gff	http://TriTrypDB.org/common/downloads/Current_Release/CfasciculataCfCl/txt/TriTrypDB-24_CfasciculataCfClGene.txt	
<i>Cytauxzoon felis</i>  strain Winnie	4389	4323	12	66	-	1755	-	-	-	-	-	-	3574	-	-	-	-	BirdLab	PiroplasmaDB	1062	1	1	Cytauxzoon felis strain Winnie	null	2015-01-20	    9.11	1	http://PiroplasmaDB.org/common/downloads/Current_Release/CfelisWinnie/fasta/data/PiroplasmaDB-24_CfelisWinnie_Genome.fasta	http://PiroplasmaDB.org/common/downloads/Current_Release/CfelisWinnie/gff/data/PiroplasmaDB-24_CfelisWinnie.gff	http://PiroplasmaDB.org/common/downloads/Current_Release/CfelisWinnie/txt/PiroplasmaDB-24_CfelisWinnieGene.txt	
